Date,Close/Last,Volume,Open,High,Low
02/21/2025,599.94,76519820,610.16,610.30,599.47
02/20/2025,610.38,36554000,611.54,611.684,607.02
02/19/2025,612.93,31011070,610.08,613.23,609.56
02/18/2025,611.49,26749030,610.88,611.49,608.38
02/14/2025,609.70,26910450,609.94,610.99,609.07
02/13/2025,609.73,40921300,604.48,609.94,603.20
02/12/2025,603.36,45076080,599.20,604.55,598.51
02/11/2025,605.31,30056740,602.55,605.86,602.43
02/10/2025,604.85,26048710,604.03,605.4999,602.74
02/07/2025,600.77,50788520,606.89,608.13,600.05
02/06/2025,606.32,35771500,605.99,606.4525,602.63
02/05/2025,604.22,30653150,600.64,604.37,598.58
02/04/2025,601.78,33457820,597.83,602.30,597.28
02/03/2025,597.77,65857250,592.67,600.29,590.49
01/31/2025,601.82,66671470,607.50,609.96,601.05
01/30/2025,605.04,39281260,603.96,606.60,600.715
01/29/2025,601.81,37177430,603.72,604.13,599.22
01/28/2025,604.52,44433320,600.62,605.37,597.25
01/27/2025,599.37,70361130,594.81,599.69,594.64
01/24/2025,607.97,34604690,609.81,610.78,606.80
01/23/2025,609.75,41152100,605.80,609.75,605.52
01/22/2025,606.44,48195970,605.92,607.82,605.36
01/21/2025,603.05,42532850,600.67,603.06,598.67
01/17/2025,597.58,58070630,596.96,599.36,595.61
01/16/2025,591.64,43319660,594.175,594.35,590.93
01/15/2025,592.78,56900160,590.325,593.94,589.195
01/14/2025,582.19,48420580,584.36,585.00,578.35
01/13/2025,581.39,47910060,575.77,581.75,575.35
01/10/2025,580.49,73105050,585.88,585.95,578.55
01/08/2025,589.49,47304670,588.70,590.5799,585.195
01/07/2025,588.63,60393050,597.42,597.75,586.78
01/06/2025,595.36,47679440,596.27,599.70,593.60
01/03/2025,591.95,37888460,587.53,592.60,586.43
01/02/2025,584.64,50203980,589.39,591.13,580.50
12/31/2024,586.08,57052650,589.905,590.6399,584.42
12/30/2024,588.22,56578760,587.89,591.74,584.41
12/27/2024,595.01,64969310,597.54,597.7761,590.7647
12/26/2024,601.34,41338890,599.50,602.48,598.0825
12/24/2024,601.30,33160100,596.06,601.34,595.47
12/23/2024,594.69,57635830,590.89,595.30,587.661
12/20/2024,591.15,125716700,581.77,595.75,580.91
12/19/2024,586.10,85919450,591.36,593.00,585.85
12/18/2024,586.28,108248700,603.98,606.405,585.89
12/17/2024,604.29,55773550,604.19,605.17,602.885
12/16/2024,606.79,43695180,606.00,607.7795,605.21
12/13/2024,604.21,35904730,606.40,607.13,602.81
12/12/2024,604.33,31543810,606.58,607.16,604.33
12/11/2024,607.46,28677720,605.78,608.435,605.50
12/10/2024,602.80,37234520,605.37,605.80,602.13
12/09/2024,604.68,34742740,607.69,607.86,604.08
12/06/2024,607.81,31241550,607.44,609.07,607.02
12/05/2024,606.66,28762180,607.66,608.48,606.305
12/04/2024,607.66,42787560,605.63,607.91,604.95
12/03/2024,603.91,26906630,603.39,604.16,602.341
12/02/2024,603.63,31745990,602.97,604.32,602.47
11/29/2024,602.55,30177350,599.66,603.35,599.3805
11/27/2024,598.83,34000160,600.46,600.85,597.28
11/26/2024,600.65,45621290,598.80,601.33,598.07
11/25/2024,597.53,42441390,599.52,600.86,595.20
11/22/2024,595.51,38226390,593.66,596.15,593.1525
11/21/2024,593.67,46750290,593.40,595.12,587.45
11/20/2024,590.50,50032580,590.38,590.79,584.63
11/19/2024,590.30,49412050,584.71,591.045,584.03
11/18/2024,588.15,37084080,586.22,589.49,585.34
11/15/2024,585.75,75988770,589.72,590.20,583.86
11/14/2024,593.35,38904110,597.32,597.81,592.65
11/13/2024,597.19,47388640,597.37,599.23,594.96
11/12/2024,596.90,43006130,598.68,599.29,594.37
11/11/2024,598.76,37586770,599.81,600.17,597.00
11/08/2024,598.19,46444890,596.17,599.64,596.165
11/07/2024,595.61,47233210,593.08,596.65,592.9999
11/06/2024,591.04,68181970,589.20,591.93,585.39
11/05/2024,576.70,39478320,570.74,576.74,570.52
11/04/2024,569.81,38216980,571.18,572.50,567.89
11/01/2024,571.04,45667530,571.32,575.55,570.62
10/31/2024,568.64,60182450,575.56,575.63,568.44
10/30/2024,580.01,41435840,581.29,583.32,579.29
10/29/2024,581.77,42899660,579.85,582.907,578.43
10/28/2024,580.83,30174700,582.58,582.71,580.52
